state,NAME,population_size,percent_65plus,count_65plus
12,Florida,19645772,18.584105526624253,3650991
23,Maine,1329100,17.61402452787601,234108
54,West Virginia,1851420,17.2465458945026,319306
72,Puerto Rico,3583073,16.641581123242535,596280
50,Vermont,626604,16.32179175364345,102273
42,Pennsylvania,12779559,16.31031242940386,2084386
30,Montana,1014699,16.190121405461127,164281
10,Delaware,926454,15.889401956276297,147208
15,Hawaii,1406299,15.619011319783347,219650
19,Iowa,3093526,15.508775423254889,479768
41,Oregon,3939233,15.40596862384124,606877
44,Rhode Island,1053661,15.402392230518164,162289
04,Arizona,6641928,15.358115896468616,1020075
05,Arkansas,2958208,15.33573704080308,453663
33,New Hampshire,1324201,15.251763138677587,201964
45,South Carolina,4777576,15.212295942544923,726779
39,Ohio,11575977,15.09402618889101,1747281
09,Connecticut,3593222,15.091692080255548,542278
26,Michigan,9900571,14.977570485581085,1482865
29,Missouri,6045448,14.963341012940646,904601
46,South Dakota,843190,14.897354095755405,125613
01,Alabama,4830620,14.890966376986805,719326
55,Wisconsin,5742117,14.77150326264686,848197
35,New Mexico,2084117,14.705412412067076,306478
25,Massachusetts,6705586,14.695479261618596,985418
47,Tennessee,6499615,14.621250643307334,950325
21,Kentucky,4397353,14.394455027831516,632975
34,New Jersey,8904413,14.366168774965852,1279223
36,New York,19673174,14.336451250825109,2820435
37,North Carolina,9845333,14.232042735375227,1401192
38,North Dakota,721640,14.223158361509894,102640
40,Oklahoma,3849733,14.213920809573027,547198
31,Nebraska,1869365,14.125759281895188,264062
20,Kansas,2892987,13.975002307303836,404295
27,Minnesota,5419171,13.90487585647325,753529
18,Indiana,6568645,13.901360173978041,913131
28,Mississippi,2988081,13.882923521818851,414833
16,Idaho,1616547,13.783329528928018,222814
32,Nevada,2798636,13.603269592758757,380706
53,Washington,6985464,13.57556205285719,948316
17,Illinois,12873761,13.500235090584638,1737988
56,Wyoming,579679,13.455722908713271,78000
51,Virginia,8256630,13.342743952435802,1101661
24,Maryland,5930538,13.340290543623528,791151
22,Louisiana,4625253,13.246172695850367,612669
06,California,38421464,12.486041656299198,4797320
08,Colorado,5278906,12.21540978376959,644840
13,Georgia,10006693,11.89670753364773,1190467
11,District of Columbia,647484,11.320588616861576,73299
48,Texas,26538614,11.184578064250077,2968232
49,Utah,2903379,9.740202708637074,282795
02,Alaska,733375,8.959400034088972,65706
